time,open,high,low,close,Volume,Volume MA
2020-02-24T00:00:00Z,9969.79,10027.66,8410,8528.95,46036.73309396001,43920.70054894868
2020-03-02T00:00:00Z,8516,9219.13,7995.48,8033.7,36629.65673871,43811.648456021176
2020-03-09T00:00:00Z,8035.79,8191.13,3850,5343.64,172635.16199897998,47215.86754737318
2020-03-16T00:00:00Z,5353.04,7139,4435.89,5813.15,152476.32182205,52110.17687285468
2020-03-23T00:00:00Z,5816.57,6989.04,5686.34,5870.9,94573.05832589,55177.69101299868
2020-03-30T00:00:00Z,5878.47,7236.39,5856,6775.2,70419.31005982,57389.56979999818
2020-04-06T00:00:00Z,6780.57,7469,6750.15,6908.24,63716.245331310005,57909.047442398674
2020-04-13T00:00:00Z,6908.21,7306.15,6472.67,7126.4,60254.00288518,57570.440299830676
2020-04-20T00:00:00Z,7124.27,7756.69,6757.75,7701.73,54394.39522182,58927.34830695018
2020-04-27T00:00:00Z,7708.87,9485.26,7637.03,8915.98,90703.05114993,62187.07912402218
2020-05-04T00:00:00Z,8924.14,10074,8109,8731.17,121856.4978396,66253.53028597719
2020-05-11T00:00:00Z,8740.88,9945.34,8181,9665.7,114184.50869071,70777.01788237669
2020-05-18T00:00:00Z,9672.95,9966.12,8669,8718.77,73340.67880949,73169.54369273919
2020-05-25T00:00:00Z,8710.12,9758.27,8630,9446.19,53042.006916130005,73241.56980671818
2020-06-01T00:00:00Z,9444.61,10429.26,9135.68,9750.04,68669.0848275,73766.64249681268
2020-06-08T00:00:00Z,9759.04,10011.4,9078.91,9329.99,49148.59177276,74466.39627123268
2020-06-15T00:00:00Z,9329.99,9596.31,8900,9283.03,38341.62442907,74218.13623365217
2020-06-22T00:00:00Z,9287.89,9798.76,8830.63,9118.01,45799.49876681,74640.29217360067
2020-06-29T00:00:00Z,9118.8,9300,8905,9076.82,27670.22486561,73640.03913939068
2020-07-06T00:00:00Z,9077.18,9479.57,9053.14,9306.17,28315.819486010005,73110.32365156717
2020-07-13T00:00:00Z,9304.94,9351.17,9026.51,9211.99,24244.162090230002,72020.69510138067
2020-07-20T00:00:00Z,9213.15,10200,9128.21,9944.65,46693.48497079001,72523.88651298468
2020-07-27T00:00:00Z,9941.25,12100,9933.77,11071.66,101978.64311276001,68991.06056867368
2020-08-03T00:00:00Z,11074.92,11920,10933.26,11683.03,47005.6962185,63717.52928849618
2020-08-10T00:00:00Z,11684.6,12080,11130,11914.02,42664.80300814,61122.11652260869
2020-08-17T00:00:00Z,11916.83,12473,11367,11644.65,43615.2480828,59781.91342375769
2020-08-24T00:00:00Z,11653.7,11832.55,11112.75,11708.97,32501.078180020006,58221.15506619318
2020-08-31T00:00:00Z,11713.11,12065.82,9850,10260.17,78736.19707203,59145.26477553569
2020-09-07T00:00:00Z,10258.43,10576.78,9825.07,10334.78,47461.46527966,58798.618278427675
2020-09-14T00:00:00Z,10338.82,11183.01,10250.13,10923.5,37510.14607747,56138.97302480467
2020-09-21T00:00:00Z,10921.53,10996.98,10138.3,10780.66,38347.80100277,51963.538182963166
2020-09-28T00:00:00Z,10779.99,10950,10380,10669.63,32524.882573699997,47880.55687711267
2020-10-05T00:00:00Z,10666.16,11496.06,10525,11372.93,31751.361137339998,45801.09099350516
2020-10-12T00:00:00Z,11372.48,11731.7,11175.99,11519.97,27319.69830074,44514.975562735664
2020-10-19T00:00:00Z,11518.58,13363.53,11409.94,13039.09,52166.77242322,43689.85994252166
2020-10-26T00:00:00Z,13041.12,14100,12773.5,13762,54378.58465957,43951.35958686216
2020-11-02T00:00:00Z,13762,15968.98,13220,15489.15,73010.28888116,45684.79280946666
2020-11-09T00:00:00Z,15484.68,16494.52,14824.66,15975.49,65719.14282049,46680.775012150654
2020-11-16T00:00:00Z,15975.49,18977,15875.5,18435.2,65568.69176432,48575.69835708615
2020-11-23T00:00:00Z,18432.6,19490,16218,18192.03,70234.36767588,50671.62576657965
2020-11-30T00:00:00Z,18196.75,19918.01,18100,19380.58,46493.56459558001,51784.095891847144
2020-12-07T00:00:00Z,19385.13,19431,17569.58,19162.36,40449.848343159996,51471.91406046565
2020-12-14T00:00:00Z,19151.82,24298.04,18979.21,23470.85,73098.80271362,50027.922040508645
2020-12-21T00:00:00Z,23470.85,28377.94,21864.86,26259.6,67965.21387615,51075.897923391145
2020-12-28T00:00:00Z,26242.82,34800,25831.85,33097.83,79594.39163482,52922.37735472515
2021-01-04T00:00:00Z,33068.83,42000,27734,38173.73,126513.78207127,57067.30405414865
2021-01-11T00:00:00Z,38164.88,40112.78,30261.13,35819.25,111650.13812809999,61024.757051552646
2021-01-18T00:00:00Z,35826.36,37874.71,28800,32288.83,73139.22052763999,60744.90822433315
2021-01-25T00:00:00Z,32289.06,38620,29150.49,33141.38,105347.75797630998,63639.22285916565
2021-02-01T00:00:00Z,33110.32,41025.48,32333.01,38858.39,55960.93211402,64561.76216099316
2021-02-08T00:00:00Z,38870.36,49714.66,38050.97,48662.5,65876.44321015,65938.19427136215
2021-02-15T00:00:00Z,48620.48,58354.14,45914.75,57492.91,49179.87505794,66770.94389557415
2021-02-22T00:00:00Z,57485.74,57564.19,43021,45240.96,69331.00445925,68649.92606166964
2021-03-01T00:00:00Z,45261.56,52652.82,45020.25,50967.3,35430.40464755,69055.46137901014
2021-03-08T00:00:00Z,50952.55,61781.83,49316.98,59016.39,38099.48605222,68352.09706046015
2021-03-15T00:00:00Z,58956.9,60595.13,53221,57381.79,36350.207453350005,67450.67820014915
2021-03-22T00:00:00Z,57410.54,58461.78,50360,55790.92,34670.695848810006,65533.69854853165
2021-03-29T00:00:00Z,55790.28,60103.04,54892.42,58212.18,21804.887468639998,63337.98578093915
