time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Volume MA
1615766400,58956.9,60595.13,54555,55644.37,55395.01199999999,33236.78171875,46541.25500000001,51570.07000000003,25451.210699999992,7725.21404982,5790.843916454073
1615852800,55616.42,56950,53221,56908.34,56195.38299999999,33560.36914062499,47034.19740000001,51951.994285714325,25678.069499999994,7733.22669474,5738.7869140215735
1615939200,56928.38,58968.8,54124,58901.8,56988.832999999984,33900.757890625,47562.14280000001,52387.60380952385,25915.21994999999,5840.07702599,5634.756117967074
1616025600,58939.73,60083.25,57000,57648.05,57510.857999999986,34231.495390624994,48106.61140000001,52890.435714285755,26144.915349999992,5516.46389423,5504.267942251574
1616112000,57648.01,59450.95,56279.34,58072,57825.15599999998,34562.465,48598.35400000001,53450.30095238099,26377.00034999999,3523.48233151,5526.863640504574
1616198400,58029.94,59957,57815.61,58138.39,58053.76599999998,34889.327421874994,49076.129,54023.082380952415,26608.07249999999,2382.94564802,5312.565017204073
1616284800,58072.87,58632.52,55500,57381.79,58014.73599999999,35210.00093749999,49537.304800000005,54601.21714285718,26837.989249999995,3628.79780904,5068.366935766074
1616371200,57410.54,58461.78,53715,54070.92,57694.72399999999,35506.755468749994,49955.8956,54812.721428571465,27057.543849999995,6566.96696309,5149.425843574574
1616457600,54117.71,55866.44,52933.03,54361.57,57014.36199999998,35806.646718749995,50372.472200000004,55091.065238095274,27277.070099999994,4996.46365198,5091.674668548573
1616544000,54360.07,57207.33,51638.76,52287.52,56341.47499999998,36084.481875,50707.77940000001,55181.9147619048,27487.671749999994,6866.97994376,5152.9430589500735
1616630400,52281.77,53271.59,50360,51326.11,55909.648999999976,36347.337187499994,50980.469000000005,55323.134285714325,27693.001449999992,6682.61740401,5226.111583713073
1616716800,51292.65,55114.86,51263.38,55081.37,55726.951999999976,36638.70765624999,51342.17000000001,55625.14190476195,27916.522599999993,4874.25111496,5362.771124697074
1616803200,55081.26,56686.15,53948.35,55839.42,55420.71399999998,36935.691640624995,51692.55840000001,55955.370000000046,28145.099899999994,2609.96757961,5352.347008149074
1616889600,55817.85,56573.04,54677.51,55790.92,55235.000999999975,37225.56093749999,52022.73480000001,56185.06619047623,28372.890499999994,2073.4491914,5235.041411003074
1616976000,55790.28,58402.68,54892.42,57600.1,55187.81099999997,37529.272656249996,52397.56900000001,56431.366190476234,28609.17804999999,5362.21834836,5231.707716221574
1617062400,57623.66,59388.66,57011,58760.59,55250.03099999997,37844.31476562499,52644.45180000001,56613.82190476195,28851.01579999999,3392.33861916,5055.510738117573
1617148800,58767.75,59816.17,56713.45,58782.58,55390.10999999997,38159.93375,52889.999400000015,56753.35952380957,29092.71204999999,4595.25252072,4953.248975889072
1617235200,58789.96,59490,57935.42,58728.53,55855.87099999997,38469.056249999994,53167.47740000001,56798.90428571433,29334.68079999999,2786.57778688,4830.962336695073
1617321600,58744,60103.04,58450,59003.6,56320.07399999998,38783.67476562499,53387.91980000001,56881.40714285719,29576.32304999999,2564.6000207,4649.800637645572
1617408000,58967.61,59801.39,56922,57064.42,56797.76399999997,39095.427343749994,53581.29140000002,56686.132380952426,29807.72599999999,1663.26835296,4569.257947547073
1617494400,57064.13,58501,56466.25,58212.18,57486.37099999997,39416.191328124994,53800.965400000016,56647.83666666671,30044.02919999999,1440.63181986,4255.028836049073
1617580800,58213.69,59280,56800,59125,57890.733999999975,39739.497656249994,54010.215400000016,56813.580952381,30284.95184999999,2402.43713513,3988.4893580685734
1617667200,59135.36,59473.9,57216,58018.3,58108.621999999974,40050.64039062499,54211.73000000002,56866.43619047624,30520.38734999999,2711.39784733,3832.0553991355728
1617753600,58024.9,58668,55441.93,55932.83,58122.81299999998,40333.707890624995,54347.05600000001,56725.05666666672,30744.66539999999,5454.57661606,3828.9610352270734
1617840000,55912.38,58145.49,55680.4,58096.6,58172.462999999974,40640.935781249995,54465.50240000002,56746.416190476244,30980.53089999999,4586.80685854,3882.1272615785733
1617926400,58066.18,58890.25,57657.43,58109.56,58107.35999999997,40944.70929687499,54596.10280000002,56748.20476190482,31219.02224999999,2660.64809651,3896.0123840030733
1618012800,58129.02,61222.22,57870,59766.93,58205.79499999997,41259.697812499995,54671.66980000001,56825.75428571434,31465.185349999992,3917.95081704,3910.470034403073
1618099200,59773.19,60679,59165.15,59979.26,58330.86799999997,41582.397031249995,54752.53420000002,56949.443333333395,31713.91454999999,1822.72044967,3673.257708732073
1618185600,59972.26,61234.56,59361.11,59831.66,58413.67399999998,41900.127499999995,54799.30920000002,57223.764285714344,31959.35274999999,3707.43645474,3608.806348870073
1618272000,59814.87,63769,59780,63564.48,59063.67999999997,42245.31421875,54987.125800000016,57661.99809523816,32223.72609999999,5709.6716825,3550.9409358070734
1618358400,63605.69,64895.22,61327,62986.09,59541.070999999974,42587.600078125,55269.089000000014,58171.453809523875,32485.01109999999,6002.89354304,3516.9547427585735
1618444800,62954.2,63855.37,61998.9,63239.19,59952.489999999976,42938.559140624995,55538.79280000001,58738.743333333405,32747.303749999992,3433.44934498,3444.9146542595736
1618531200,63247.24,63580.4,60042.04,61436.24,60294.28399999997,43273.55601562499,55825.746000000014,59041.356190476254,33001.03754999999,5778.81668659,3603.3571096085734
1618617600,61436.23,62596.48,59676.67,60032.29,60704.22999999997,43599.977812499994,56100.09520000001,59241.01666666673,33247.01689999999,3091.48365756,3654.2588329165737
1618704000,60048.82,60433.81,51541.16,56280.6,60522.62999999997,43898.732343749994,56303.50760000002,59264.33476190482,33474.52879999999,12869.85937399,4029.6408841980738
1618790400,56260.83,57633,54252.88,55694.55,60281.12899999997,44186.848906249994,56512.57940000002,59173.59428571435,33699.88799999999,5791.23906226,4149.585906353073
1618876800,55694.55,57119,53400,56503.19,59954.75499999997,44478.574140624994,56650.05660000001,59066.09904761911,33929.51124999999,5863.88283884,4213.017422259074
1618963200,56493.02,56850,53628.79,53806.24,59337.452999999965,44748.354687499996,56755.85440000001,58829.130476190534,34145.77414999999,4578.25708723,4302.601387276573
1619049600,53823.48,55491.8,50450.01,51683.95,58522.68199999997,45000.300624999996,56781.939800000015,58493.67428571435,34350.845749999986,7838.86768185,4566.314770334073
